condition,task_id,family,level,seed,success
A,0,clean,0,0,0
A,0,clean,0,0,1
A,0,clean,0,0,1
A,0,clean,0,0,1
A,0,clean,0,0,1
A,1,clean,0,0,1
A,1,clean,0,0,1
A,1,clean,0,0,1
A,1,clean,0,0,1
A,1,clean,0,0,1
A,2,clean,0,0,1
A,2,clean,0,0,1
A,2,clean,0,0,0
A,2,clean,0,0,1
A,2,clean,0,0,1
A,3,clean,0,0,1
A,3,clean,0,0,0
A,3,clean,0,0,0
A,3,clean,0,0,1
A,3,clean,0,0,0
A,4,clean,0,0,1
A,4,clean,0,0,0
A,4,clean,0,0,0
A,4,clean,0,0,1
A,4,clean,0,0,1
A,5,clean,0,0,0
A,5,clean,0,0,0
A,5,clean,0,0,0
A,5,clean,0,0,1
A,5,clean,0,0,1
A,6,clean,0,0,1
A,6,clean,0,0,1
A,6,clean,0,0,0
A,6,clean,0,0,1
A,6,clean,0,0,0
A,7,clean,0,0,1
A,7,clean,0,0,0
A,7,clean,0,0,0
A,7,clean,0,0,1
A,7,clean,0,0,1
A,8,clean,0,0,0
A,8,clean,0,0,0
A,8,clean,0,0,1
A,8,clean,0,0,0
A,8,clean,0,0,1
A,9,clean,0,0,1
A,9,clean,0,0,1
A,9,clean,0,0,1
A,9,clean,0,0,0
A,9,clean,0,0,1
A,611,viewpoint,2,0,0
A,611,viewpoint,2,0,0
A,611,viewpoint,2,0,0
A,611,viewpoint,2,0,0
A,611,viewpoint,2,0,0
A,612,viewpoint,2,0,0
A,612,viewpoint,2,0,0
A,612,viewpoint,2,0,0
A,612,viewpoint,2,0,0
A,612,viewpoint,2,0,0
A,614,viewpoint,2,0,0
A,614,viewpoint,2,0,0
A,614,viewpoint,2,0,0
A,614,viewpoint,2,0,0
A,614,viewpoint,2,0,0
A,615,viewpoint,2,0,0
A,615,viewpoint,2,0,0
A,615,viewpoint,2,0,0
A,615,viewpoint,2,0,0
A,615,viewpoint,2,0,0
A,624,viewpoint,2,0,0
A,624,viewpoint,2,0,0
A,624,viewpoint,2,0,0
A,624,viewpoint,2,0,0
A,624,viewpoint,2,0,0
A,626,viewpoint,2,0,0
A,626,viewpoint,2,0,0
A,626,viewpoint,2,0,0
A,626,viewpoint,2,0,0
A,626,viewpoint,2,0,0
A,636,viewpoint,2,0,0
A,636,viewpoint,2,0,0
A,636,viewpoint,2,0,0
A,636,viewpoint,2,0,0
A,636,viewpoint,2,0,0
A,642,viewpoint,2,0,0
A,642,viewpoint,2,0,0
A,642,viewpoint,2,0,0
A,642,viewpoint,2,0,0
A,642,viewpoint,2,0,0
A,656,viewpoint,2,0,0
A,656,viewpoint,2,0,0
A,656,viewpoint,2,0,0
A,656,viewpoint,2,0,0
A,656,viewpoint,2,0,0
A,657,viewpoint,2,0,0
A,657,viewpoint,2,0,0
A,657,viewpoint,2,0,0
A,657,viewpoint,2,0,0
A,657,viewpoint,2,0,0
A,659,viewpoint,2,0,0
A,659,viewpoint,2,0,0
A,659,viewpoint,2,0,0
A,659,viewpoint,2,0,0
A,659,viewpoint,2,0,0
A,662,viewpoint,2,0,0
A,662,viewpoint,2,0,0
A,662,viewpoint,2,0,0
A,662,viewpoint,2,0,0
A,662,viewpoint,2,0,0
A,620,viewpoint,4,0,0
A,620,viewpoint,4,0,0
A,620,viewpoint,4,0,0
A,620,viewpoint,4,0,0
A,620,viewpoint,4,0,0
A,622,viewpoint,4,0,0
A,622,viewpoint,4,0,0
A,622,viewpoint,4,0,0
A,622,viewpoint,4,0,0
A,622,viewpoint,4,0,0
A,628,viewpoint,4,0,0
A,628,viewpoint,4,0,0
A,628,viewpoint,4,0,0
A,628,viewpoint,4,0,0
A,628,viewpoint,4,0,0
A,633,viewpoint,4,0,0
A,633,viewpoint,4,0,0
A,633,viewpoint,4,0,0
A,633,viewpoint,4,0,0
A,633,viewpoint,4,0,0
A,639,viewpoint,4,0,0
A,639,viewpoint,4,0,0
A,639,viewpoint,4,0,0
A,639,viewpoint,4,0,0
A,639,viewpoint,4,0,0
A,644,viewpoint,4,0,0
A,644,viewpoint,4,0,0
A,644,viewpoint,4,0,0
A,644,viewpoint,4,0,0
A,644,viewpoint,4,0,0
A,646,viewpoint,4,0,0
A,646,viewpoint,4,0,0
A,646,viewpoint,4,0,0
A,646,viewpoint,4,0,0
A,646,viewpoint,4,0,0
A,647,viewpoint,4,0,0
A,647,viewpoint,4,0,0
A,647,viewpoint,4,0,0
A,647,viewpoint,4,0,0
A,647,viewpoint,4,0,0
A,649,viewpoint,4,0,0
A,649,viewpoint,4,0,0
A,649,viewpoint,4,0,0
A,649,viewpoint,4,0,0
A,649,viewpoint,4,0,0
A,791,viewpoint,4,0,0
A,791,viewpoint,4,0,0
A,791,viewpoint,4,0,0
A,791,viewpoint,4,0,0
A,791,viewpoint,4,0,0
A,805,viewpoint,4,0,0
A,805,viewpoint,4,0,0
A,805,viewpoint,4,0,0
A,805,viewpoint,4,0,0
A,805,viewpoint,4,0,0
A,807,viewpoint,4,0,0
A,807,viewpoint,4,0,0
A,807,viewpoint,4,0,0
A,807,viewpoint,4,0,0
A,807,viewpoint,4,0,0
A,2110,lighting,2,0,1
A,2110,lighting,2,0,0
A,2110,lighting,2,0,0
A,2110,lighting,2,0,1
A,2110,lighting,2,0,1
A,2111,lighting,2,0,1
A,2111,lighting,2,0,0
A,2111,lighting,2,0,1
A,2111,lighting,2,0,1
A,2111,lighting,2,0,1
A,2117,lighting,2,0,1
A,2117,lighting,2,0,0
A,2117,lighting,2,0,1
A,2117,lighting,2,0,0
A,2117,lighting,2,0,1
A,2118,lighting,2,0,1
A,2118,lighting,2,0,0
A,2118,lighting,2,0,1
A,2118,lighting,2,0,1
A,2118,lighting,2,0,0
A,2120,lighting,2,0,1
A,2120,lighting,2,0,0
A,2120,lighting,2,0,0
A,2120,lighting,2,0,1
A,2120,lighting,2,0,1
A,2121,lighting,2,0,0
A,2121,lighting,2,0,0
A,2121,lighting,2,0,0
A,2121,lighting,2,0,0
A,2121,lighting,2,0,0
A,2128,lighting,2,0,0
A,2128,lighting,2,0,0
A,2128,lighting,2,0,0
A,2128,lighting,2,0,0
A,2128,lighting,2,0,1
A,2131,lighting,2,0,1
A,2131,lighting,2,0,0
A,2131,lighting,2,0,1
A,2131,lighting,2,0,0
A,2131,lighting,2,0,1
A,2133,lighting,2,0,0
A,2133,lighting,2,0,0
A,2133,lighting,2,0,0
A,2133,lighting,2,0,0
A,2133,lighting,2,0,0
A,2138,lighting,2,0,1
A,2138,lighting,2,0,0
A,2138,lighting,2,0,0
A,2138,lighting,2,0,1
A,2138,lighting,2,0,1
A,2142,lighting,2,0,0
A,2142,lighting,2,0,0
A,2142,lighting,2,0,0
A,2142,lighting,2,0,0
A,2142,lighting,2,0,1
A,2147,lighting,2,0,0
A,2147,lighting,2,0,0
A,2147,lighting,2,0,0
A,2147,lighting,2,0,1
A,2147,lighting,2,0,0
A,2112,lighting,4,0,0
A,2112,lighting,4,0,1
A,2112,lighting,4,0,0
A,2112,lighting,4,0,0
A,2112,lighting,4,0,0
A,2119,lighting,4,0,1
A,2119,lighting,4,0,0
A,2119,lighting,4,0,1
A,2119,lighting,4,0,0
A,2119,lighting,4,0,0
A,2127,lighting,4,0,0
A,2127,lighting,4,0,0
A,2127,lighting,4,0,0
A,2127,lighting,4,0,1
A,2127,lighting,4,0,0
A,2129,lighting,4,0,0
A,2129,lighting,4,0,0
A,2129,lighting,4,0,0
A,2129,lighting,4,0,0
A,2129,lighting,4,0,0
A,2134,lighting,4,0,0
A,2134,lighting,4,0,0
A,2134,lighting,4,0,0
A,2134,lighting,4,0,0
A,2134,lighting,4,0,1
A,2136,lighting,4,0,0
A,2136,lighting,4,0,0
A,2136,lighting,4,0,0
A,2136,lighting,4,0,0
A,2136,lighting,4,0,1
A,2137,lighting,4,0,0
A,2137,lighting,4,0,0
A,2137,lighting,4,0,0
A,2137,lighting,4,0,0
A,2137,lighting,4,0,1
A,2140,lighting,4,0,0
A,2140,lighting,4,0,0
A,2140,lighting,4,0,0
A,2140,lighting,4,0,0
A,2140,lighting,4,0,1
A,2150,lighting,4,0,1
A,2150,lighting,4,0,0
A,2150,lighting,4,0,0
A,2150,lighting,4,0,0
A,2150,lighting,4,0,0
A,2173,lighting,4,0,0
A,2173,lighting,4,0,0
A,2173,lighting,4,0,0
A,2173,lighting,4,0,0
A,2173,lighting,4,0,0
A,2180,lighting,4,0,0
A,2180,lighting,4,0,0
A,2180,lighting,4,0,0
A,2180,lighting,4,0,1
A,2180,lighting,4,0,0
A,2182,lighting,4,0,0
A,2182,lighting,4,0,0
A,2182,lighting,4,0,0
A,2182,lighting,4,0,0
A,2182,lighting,4,0,0
A,0,texture,2,0,0
A,0,texture,2,0,0
A,0,texture,2,0,0
A,0,texture,2,0,0
A,0,texture,2,0,0
A,1,texture,2,0,0
A,1,texture,2,0,0
A,1,texture,2,0,0
A,1,texture,2,0,0
A,1,texture,2,0,0
A,2,texture,2,0,0
A,2,texture,2,0,0
A,2,texture,2,0,0
A,2,texture,2,0,0
A,2,texture,2,0,0
A,3,texture,2,0,0
A,3,texture,2,0,0
A,3,texture,2,0,0
A,3,texture,2,0,1
A,3,texture,2,0,0
A,12,texture,2,0,0
A,12,texture,2,0,0
A,12,texture,2,0,0
A,12,texture,2,0,0
A,12,texture,2,0,0
A,14,texture,2,0,0
A,14,texture,2,0,0
A,14,texture,2,0,0
A,14,texture,2,0,1
A,14,texture,2,0,0
A,15,texture,2,0,0
A,15,texture,2,0,0
A,15,texture,2,0,0
A,15,texture,2,0,0
A,15,texture,2,0,1
A,17,texture,2,0,0
A,17,texture,2,0,0
A,17,texture,2,0,0
A,17,texture,2,0,0
A,17,texture,2,0,1
A,24,texture,2,0,0
A,24,texture,2,0,0
A,24,texture,2,0,0
A,24,texture,2,0,0
A,24,texture,2,0,0
A,25,texture,2,0,0
A,25,texture,2,0,0
A,25,texture,2,0,0
A,25,texture,2,0,1
A,25,texture,2,0,0
A,26,texture,2,0,1
A,26,texture,2,0,0
A,26,texture,2,0,0
A,26,texture,2,0,0
A,26,texture,2,0,0
A,32,texture,2,0,0
A,32,texture,2,0,0
A,32,texture,2,0,0
A,32,texture,2,0,1
A,32,texture,2,0,0
A,30,texture,4,0,0
A,30,texture,4,0,0
A,30,texture,4,0,1
A,30,texture,4,0,1
A,30,texture,4,0,0
A,31,texture,4,0,0
A,31,texture,4,0,1
A,31,texture,4,0,0
A,31,texture,4,0,0
A,31,texture,4,0,0
A,53,texture,4,0,1
A,53,texture,4,0,1
A,53,texture,4,0,1
A,53,texture,4,0,1
A,53,texture,4,0,0
A,54,texture,4,0,1
A,54,texture,4,0,1
A,54,texture,4,0,1
A,54,texture,4,0,1
A,54,texture,4,0,0
A,59,texture,4,0,1
A,59,texture,4,0,1
A,59,texture,4,0,0
A,59,texture,4,0,0
A,59,texture,4,0,1
A,63,texture,4,0,0
A,63,texture,4,0,1
A,63,texture,4,0,1
A,63,texture,4,0,0
A,63,texture,4,0,1
A,64,texture,4,0,0
A,64,texture,4,0,0
A,64,texture,4,0,1
A,64,texture,4,0,1
A,64,texture,4,0,1
A,66,texture,4,0,0
A,66,texture,4,0,0
A,66,texture,4,0,0
A,66,texture,4,0,0
A,66,texture,4,0,0
A,68,texture,4,0,1
A,68,texture,4,0,1
A,68,texture,4,0,1
A,68,texture,4,0,0
A,68,texture,4,0,1
A,69,texture,4,0,1
A,69,texture,4,0,0
A,69,texture,4,0,0
A,69,texture,4,0,1
A,69,texture,4,0,1
A,70,texture,4,0,0
A,70,texture,4,0,1
A,70,texture,4,0,1
A,70,texture,4,0,1
A,70,texture,4,0,1
A,87,texture,4,0,0
A,87,texture,4,0,0
A,87,texture,4,0,1
A,87,texture,4,0,0
A,87,texture,4,0,0
A,1375,noise,2,0,0
A,1375,noise,2,0,1
A,1375,noise,2,0,0
A,1375,noise,2,0,0
A,1375,noise,2,0,0
A,1376,noise,2,0,0
A,1376,noise,2,0,1
A,1376,noise,2,0,0
A,1376,noise,2,0,0
A,1376,noise,2,0,0
A,1377,noise,2,0,0
A,1377,noise,2,0,1
A,1377,noise,2,0,1
A,1377,noise,2,0,0
A,1377,noise,2,0,1
A,1378,noise,2,0,0
A,1378,noise,2,0,1
A,1378,noise,2,0,1
A,1378,noise,2,0,0
