condition,task_id,family,level,seed,success
A,1767,layout,2,0,0
A,1767,layout,2,0,0
A,1767,layout,2,0,0
A,1767,layout,2,0,0
A,1767,layout,2,0,0
A,1893,layout,2,0,0
A,1893,layout,2,0,0
A,1893,layout,2,0,0
A,1893,layout,2,0,0
A,1893,layout,2,0,0
A,1902,layout,2,0,0
A,1902,layout,2,0,0
A,1902,layout,2,0,1
A,1902,layout,2,0,0
A,1902,layout,2,0,1
A,1912,layout,2,0,0
A,1912,layout,2,0,0
A,1912,layout,2,0,0
A,1912,layout,2,0,0
A,1912,layout,2,0,0
A,1918,layout,2,0,0
A,1918,layout,2,0,0
A,1918,layout,2,0,0
A,1918,layout,2,0,0
A,1918,layout,2,0,0
A,1931,layout,2,0,0
A,1931,layout,2,0,0
A,1931,layout,2,0,0
A,1931,layout,2,0,0
A,1931,layout,2,0,0
A,1939,layout,2,0,0
A,1939,layout,2,0,0
A,1939,layout,2,0,0
A,1939,layout,2,0,0
A,1939,layout,2,0,0
A,1948,layout,2,0,1
A,1948,layout,2,0,0
A,1948,layout,2,0,1
A,1948,layout,2,0,0
A,1948,layout,2,0,0
A,1952,layout,2,0,0
A,1952,layout,2,0,1
A,1952,layout,2,0,0
A,1952,layout,2,0,1
A,1952,layout,2,0,0
A,1953,layout,2,0,0
A,1953,layout,2,0,1
A,1953,layout,2,0,0
A,1953,layout,2,0,1
A,1953,layout,2,0,0
A,1954,layout,2,0,0
A,1954,layout,2,0,0
A,1954,layout,2,0,0
A,1954,layout,2,0,0
A,1954,layout,2,0,0
A,1955,layout,2,0,0
A,1955,layout,2,0,1
A,1955,layout,2,0,0
A,1955,layout,2,0,1
A,1955,layout,2,0,0
A,1725,layout,4,0,0
A,1725,layout,4,0,0
A,1725,layout,4,0,0
A,1725,layout,4,0,1
A,1725,layout,4,0,0
A,1727,layout,4,0,0
A,1727,layout,4,0,0
A,1727,layout,4,0,0
A,1727,layout,4,0,0
A,1727,layout,4,0,1
A,1728,layout,4,0,0
A,1728,layout,4,0,0
A,1728,layout,4,0,0
A,1728,layout,4,0,0
A,1728,layout,4,0,1
A,1730,layout,4,0,0
A,1730,layout,4,0,0
A,1730,layout,4,0,0
A,1730,layout,4,0,0
A,1730,layout,4,0,0
A,1731,layout,4,0,1
A,1731,layout,4,0,0
A,1731,layout,4,0,0
A,1731,layout,4,0,0
A,1731,layout,4,0,1
A,1732,layout,4,0,0
A,1732,layout,4,0,0
A,1732,layout,4,0,0
A,1732,layout,4,0,1
A,1732,layout,4,0,1
A,1735,layout,4,0,0
A,1735,layout,4,0,0
A,1735,layout,4,0,0
A,1735,layout,4,0,0
A,1735,layout,4,0,0
A,1738,layout,4,0,0
A,1738,layout,4,0,1
A,1738,layout,4,0,0
A,1738,layout,4,0,0
A,1738,layout,4,0,0
A,1741,layout,4,0,0
A,1741,layout,4,0,0
A,1741,layout,4,0,0
A,1741,layout,4,0,1
A,1741,layout,4,0,0
A,1743,layout,4,0,0
A,1743,layout,4,0,0
A,1743,layout,4,0,0
A,1743,layout,4,0,0
A,1743,layout,4,0,0
A,1744,layout,4,0,0
A,1744,layout,4,0,0
A,1744,layout,4,0,1
A,1744,layout,4,0,0
A,1744,layout,4,0,0
A,1745,layout,4,0,0
A,1745,layout,4,0,0
A,1745,layout,4,0,0
A,1745,layout,4,0,1
A,1745,layout,4,0,1
B,0,clean,0,0,1
B,0,clean,0,0,0
B,0,clean,0,0,1
B,0,clean,0,0,1
B,0,clean,0,0,0
B,1,clean,0,0,1
B,1,clean,0,0,0
B,1,clean,0,0,1
B,1,clean,0,0,1
B,1,clean,0,0,0
B,2,clean,0,0,0
B,2,clean,0,0,1
B,2,clean,0,0,1
B,2,clean,0,0,1
B,2,clean,0,0,1
B,3,clean,0,0,1
B,3,clean,0,0,1
B,3,clean,0,0,1
B,3,clean,0,0,1
B,3,clean,0,0,1
B,4,clean,0,0,1
B,4,clean,0,0,1
B,4,clean,0,0,1
B,4,clean,0,0,1
B,4,clean,0,0,1
B,5,clean,0,0,0
B,5,clean,0,0,0
B,5,clean,0,0,0
B,5,clean,0,0,0
B,5,clean,0,0,1
B,6,clean,0,0,1
B,6,clean,0,0,1
B,6,clean,0,0,1
B,6,clean,0,0,1
B,6,clean,0,0,0
B,7,clean,0,0,0
B,7,clean,0,0,0
B,7,clean,0,0,1
B,7,clean,0,0,1
B,7,clean,0,0,1
B,8,clean,0,0,1
B,8,clean,0,0,1
B,8,clean,0,0,0
B,8,clean,0,0,1
B,8,clean,0,0,1
B,9,clean,0,0,0
B,9,clean,0,0,0
B,9,clean,0,0,1
B,9,clean,0,0,0
B,9,clean,0,0,1
B,611,viewpoint,2,0,0
B,611,viewpoint,2,0,0
B,611,viewpoint,2,0,0
B,611,viewpoint,2,0,0
B,611,viewpoint,2,0,0
B,612,viewpoint,2,0,0
B,612,viewpoint,2,0,0
B,612,viewpoint,2,0,0
B,612,viewpoint,2,0,0
